N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0488689,1.04733,-0.01,0.05,,,-0.39,-0.13,0.13,1.38778e-17
-0.0488454,1.04723,-0.005,0.05,,,-0.42,-0.14,0.14,1.38778e-17
-0.0488217,1.04713,-5.20417e-18,0.05,,,-0.45,-0.15,0.15,1.38778e-17
-0.0487979,1.04702,-0.015,0.06,,,0.2,0.042875,-0.05,0.05
-0.0487739,1.04692,-0.01,0.06,,,0.17,0.032875,-0.04,0.05
-0.0487498,1.04682,-0.005,0.06,,,0.14,0.022875,-0.03,0.05
-0.0487255,1.04672,-5.20417e-18,0.06,,,0.11,0.012875,-0.02,0.05
-0.0487012,1.04661,-0.015,0.07,,,0.08,0.002875,-0.01,0.05
-0.0486766,1.04651,-0.01,0.07,,,0.05,-0.007125,3.46945e-18,0.05
-0.048652,1.04641,-0.005,0.07,,,0.02,-0.017125,0.01,0.05
-0.0486272,1.0463,-5.20417e-18,0.07,,,-0.01,-0.027125,0.02,0.05
-0.0486023,1.0462,-0.015,0.08,,,-0.04,-0.037125,0.03,0.05
-0.0485773,1.0461,-0.01,0.08,,,-0.07,-0.047125,0.04,0.05
-0.0485521,1.046,-0.005,0.08,,,-0.1,-0.057125,0.05,0.05
-0.0485268,1.04589,-5.20417e-18,0.08,,,-0.13,-0.067125,0.06,0.05
-0.0485014,1.04579,-0.015,0.09,,,-0.16,-0.077125,0.07,0.05
-0.0484759,1.04569,-0.01,0.09,,,-0.19,-0.087125,0.08,0.05
-0.0484503,1.04558,-0.005,0.09,,,-0.22,-0.097125,0.09,0.05
-0.0484245,1.04548,-5.20417e-18,0.09,,,-0.25,-0.107125,0.1,0.05
-0.0483986,1.04538,-0.015,0.1,,,-0.28,-0.117125,0.11,0.05
-0.0483727,1.04528,-0.01,0.1,,,-0.31,-0.127125,0.12,0.05
-0.0483466,1.04517,-0.005,0.1,,,-0.34,-0.137125,0.13,0.05
-0.0483204,1.04507,-5.20417e-18,0.1,,,-0.37,-0.147125,0.14,0.05
-0.0482941,1.04497,-0.015,0.11,,,-0.4,-0.157125,0.15,0.05
-0.0482677,1.04486,-0.01,0.11,,,0.25,0.041,-0.05,0.1
-0.0482411,1.04476,-0.005,0.11,,,0.22,0.031,-0.04,0.1
-0.0482145,1.04466,-5.20417e-18,0.11,,,0.19,0.021,-0.03,0.1
-0.0481878,1.04455,-0.015,0.12,,,0.16,0.011,-0.02,0.1
-0.048161,1.04445,-0.01,0.12,,,0.13,0.001,-0.01,0.1
-0.0481341,1.04435,-0.005,0.12,,,0.1,-0.009,3.46945e-18,0.1
-0.0481071,1.04424,-5.20417e-18,0.12,,,0.07,-0.019,0.01,0.1
-0.04808,1.04414,-0.015,0.13,,,0.04,-0.029,0.02,0.1
-0.0480528,1.04403,-0.01,0.13,,,0.01,-0.039,0.03,0.1
-0.0480255,1.04393,-0.005,0.13,,,-0.02,-0.049,0.04,0.1
-0.0479981,1.04383,-5.20417e-18,0.13,,,-0.05,-0.059,0.05,0.1
-0.0479706,1.04372,-0.015,0.14,,,-0.08,-0.069,0.06,0.1
-0.0479431,1.04362,-0.01,0.14,,,-0.11,-0.079,0.07,0.1
-0.0479154,1.04352,-0.005,0.14,,,-0.14,-0.089,0.08,0.1
-0.0478877,1.04341,-5.20417e-18,0.14,,,-0.17,-0.099,0.09,0.1
-0.0478599,1.04331,-0.015,0.15,,,-0.2,-0.109,0.1,0.1
-0.047832,1.0432,-0.01,0.15,,,-0.23,-0.119,0.11,0.1
-0.047804,1.0431,-0.005,0.15,,,-0.26,-0.129,0.12,0.1
-0.0477759,1.043,-5.20417e-18,0.15,,,-0.29,-0.139,0.13,0.1
-0.0477478,1.04289,-0.015,0.16,,,-0.32,-0.149,0.14,0.1
-0.0477196,1.04279,-0.01,0.16,,,-0.35,-0.159,0.15,0.1
-0.0476913,1.04268,-0.005,0.16,,,0.3,0.043625,-0.05,0.15
-0.0476629,1.04258,-5.20417e-18,0.16,,,0.27,0.033625,-0.04,0.15
-0.0476345,1.04248,-0.01,0.17,,,0.24,0.023625,-0.03,0.15
-0.0476059,1.04237,-0.005,0.17,,,0.21,0.013625,-0.02,0.15
-0.0475774,1.04227,-5.20417e-18,0.17,,,0.18,0.003625,-0.01,0.15
-0.0475487,1.04216,0.005,0.17,,,0.15,-0.006375,3.46945e-18,0.15
-0.04752,1.04206,-0.01,0.18,,,0.12,-0.016375,0.01,0.15
-0.0474912,1.04195,-0.005,0.18,,,0.09,-0.026375,0.02,0.15
-0.0474623,1.04185,-5.20417e-18,0.18,,,0.06,-0.036375,0.03,0.15
-0.0474334,1.04174,0.005,0.18,,,0.03,-0.046375,0.04,0.15
-0.0474044,1.04164,-0.01,0.19,,,0,-0.056375,0.05,0.15
-0.0473753,1.04153,-0.005,0.19,,,-0.03,-0.066375,0.06,0.15
-0.0473462,1.04143,-5.20417e-18,0.19,,,-0.06,-0.076375,0.07,0.15
-0.047317,1.04133,0.005,0.19,,,-0.09,-0.086375,0.08,0.15
-0.0472877,1.04122,-0.005,0.2,,,-0.12,-0.096375,0.09,0.15
-0.0472584,1.04112,-5.20417e-18,0.2,,,-0.15,-0.106375,0.1,0.15
-0.047229,1.04101,0.005,0.2,,,-0.18,-0.116375,0.11,0.15
-0.0471996,1.04091,0.01,0.2,,,-0.21,-0.126375,0.12,0.15
-0.0471701,1.0408,-0.005,0.21,,,-0.24,-0.136375,0.13,0.15
-0.0471406,1.0407,-5.20417e-18,0.21,,,-0.27,-0.146375,0.14,0.15
-0.0471109,1.04059,0.005,0.21,,,-0.3,-0.156375,0.15,0.15
-0.0470813,1.04049,0.01,0.21,,,0.35,0.05,-0.05,0.2
-0.0470516,1.04038,-0.005,0.22,,,0.32,0.04,-0.04,0.2
-0.0470218,1.04028,-5.20417e-18,0.22,,,0.29,0.03,-0.03,0.2
-0.046992,1.04017,0.005,0.22,,,0.26,0.02,-0.02,0.2
-0.0469621,1.04006,0.01,0.22,,,0.23,0.01,-0.01,0.2
-0.0469321,1.03996,-5.20417e-18,0.23,,,0.2,-3.46945e-18,3.46945e-18,0.2
-0.0469022,1.03985,0.005,0.23,,,0.17,-0.01,0.01,0.2
-0.0468721,1.03975,0.01,0.23,,,0.14,-0.02,0.02,0.2
-0.0468421,1.03964,0.015,0.23,,,0.11,-0.03,0.03,0.2
-0.0468119,1.03954,-5.20417e-18,0.24,,,0.08,-0.04,0.04,0.2
-0.0467817,1.03943,0.005,0.24,,,0.05,-0.05,0.05,0.2
-0.0467515,1.03933,0.01,0.24,,,0.02,-0.06,0.06,0.2
-0.0467212,1.03922,0.015,0.24,,,-0.01,-0.07,0.07,0.2
-0.0466909,1.03911,-5.20417e-18,0.25,,,-0.04,-0.08,0.08,0.2
-0.0466606,1.03901,0.005,0.25,,,-0.07,-0.09,0.09,0.2
-0.0466302,1.0389,0.01,0.25,,,-0.1,-0.1,0.1,0.2
-0.0465997,1.0388,0.015,0.25,,,-0.13,-0.11,0.11,0.2
-0.0465692,1.03869,0.005,0.26,,,-0.16,-0.12,0.12,0.2
-0.0465387,1.03859,0.01,0.26,,,-0.19,-0.13,0.13,0.2
-0.0465081,1.03848,0.015,0.26,,,-0.22,-0.14,0.14,0.2
-0.0464775,1.03837,0.02,0.26,,,-0.25,-0.15,0.15,0.2
-0.0464468,1.03827,0.005,0.27,,,0.4,0.059375,-0.05,0.25
-0.0464161,1.03816,0.01,0.27,,,0.37,0.049375,-0.04,0.25
-0.0463854,1.03806,0.015,0.27,,,0.34,0.039375,-0.03,0.25
-0.0463546,1.03795,0.02,0.27,,,0.31,0.029375,-0.02,0.25
-0.0463238,1.03784,0.01,0.28,,,0.28,0.019375,-0.01,0.25
-0.0462929,1.03774,0.015,0.28,,,0.25,0.009375,3.46945e-18,0.25
-0.046262,1.03763,0.02,0.28,,,0.22,-0.000625,0.01,0.25
-0.0462311,1.03752,0.025,0.28,,,0.19,-0.010625,0.02,0.25
-0.0462001,1.03742,0.01,0.29,,,0.16,-0.020625,0.03,0.25
-0.0461691,1.03731,0.015,0.29,,,0.13,-0.030625,0.04,0.25
-0.0461381,1.0372,0.02,0.29,,,0.1,-0.040625,0.05,0.25
-0.046107,1.0371,0.025,0.29,,,0.07,-0.050625,0.06,0.25
-0.0460759,1.03699,0.015,0.3,,,0.04,-0.060625,0.07,0.25
