V,K_I,Na_I,L_I,Cl_I
0.386098,1.42615e-05,-0.00880291,-3.06417,2.50666
0.387664,1.45083e-05,-0.00891021,-3.0637,2.50712
0.38923,1.47583e-05,-0.0090182,-3.06323,2.50758
0.390794,1.50115e-05,-0.00912688,-3.06276,2.50803
0.392358,1.52679e-05,-0.00923624,-3.06229,2.50849
0.393921,1.55276e-05,-0.00934629,-3.06182,2.50895
0.395483,1.57906e-05,-0.00945702,-3.06136,2.5094
0.397045,1.60569e-05,-0.00956842,-3.06089,2.50986
0.398605,1.63266e-05,-0.00968052,-3.06042,2.51031
0.400165,1.65996e-05,-0.00979328,-3.05995,2.51077
0.401724,1.6876e-05,-0.00990673,-3.05948,2.51122
0.403282,1.71559e-05,-0.0100209,-3.05902,2.51167
0.404839,1.74392e-05,-0.0101357,-3.05855,2.51213
0.406396,1.7726e-05,-0.0102511,-3.05808,2.51258
0.407952,1.80163e-05,-0.0103673,-3.05761,2.51304
0.409507,1.83102e-05,-0.0104841,-3.05715,2.51349
0.411061,1.86076e-05,-0.0106016,-3.05668,2.51394
0.412614,1.89086e-05,-0.0107198,-3.05622,2.5144
0.414167,1.92133e-05,-0.0108386,-3.05575,2.51485
0.415718,1.95216e-05,-0.0109581,-3.05528,2.5153
0.417269,1.98336e-05,-0.0110783,-3.05482,2.51576
0.418819,2.01493e-05,-0.0111991,-3.05435,2.51621
0.420369,2.04687e-05,-0.0113206,-3.05389,2.51666
0.421917,2.0792e-05,-0.0114428,-3.05342,2.51711
0.423465,2.1119e-05,-0.0115656,-3.05296,2.51756
0.425012,2.14499e-05,-0.0116891,-3.0525,2.51802
0.426558,2.17846e-05,-0.0118132,-3.05203,2.51847
0.428103,2.21232e-05,-0.011938,-3.05157,2.51892
0.429648,2.24657e-05,-0.0120635,-3.05111,2.51937
0.431192,2.28122e-05,-0.0121896,-3.05064,2.51982
0.432735,2.31627e-05,-0.0123163,-3.05018,2.52027
0.434277,2.35171e-05,-0.0124437,-3.04972,2.52072
0.435818,2.38757e-05,-0.0125718,-3.04925,2.52117
0.437359,2.42382e-05,-0.0127005,-3.04879,2.52162
0.438899,2.46049e-05,-0.0128299,-3.04833,2.52207
0.440438,2.49757e-05,-0.0129599,-3.04787,2.52252
0.441976,2.53507e-05,-0.0130905,-3.04741,2.52297
0.443514,2.57299e-05,-0.0132218,-3.04695,2.52342
0.44505,2.61133e-05,-0.0133537,-3.04648,2.52387
0.446586,2.6501e-05,-0.0134863,-3.04602,2.52432
0.448122,2.68929e-05,-0.0136195,-3.04556,2.52476
0.449656,2.72892e-05,-0.0137533,-3.0451,2.52521
0.45119,2.76898e-05,-0.0138878,-3.04464,2.52566
0.452722,2.80948e-05,-0.0140229,-3.04418,2.52611
0.454254,2.85042e-05,-0.0141587,-3.04372,2.52656
0.455786,2.8918e-05,-0.014295,-3.04326,2.527
0.457316,2.93363e-05,-0.014432,-3.04281,2.52745
0.458846,2.97591e-05,-0.0145696,-3.04235,2.5279
0.460375,3.01865e-05,-0.0147079,-3.04189,2.52834
0.461903,3.06185e-05,-0.0148468,-3.04143,2.52879
0.463431,3.1055e-05,-0.0149863,-3.04097,2.52924
0.464957,3.14962e-05,-0.0151264,-3.04051,2.52968
0.466483,3.1942e-05,-0.0152671,-3.04005,2.53013
0.468009,3.23926e-05,-0.0154084,-3.0396,2.53058
0.469533,3.28478e-05,-0.0155504,-3.03914,2.53102
0.471057,3.33079e-05,-0.015693,-3.03868,2.53147
0.472579,3.37727e-05,-0.0158362,-3.03823,2.53191
0.474102,3.42424e-05,-0.0159799,-3.03777,2.53236
0.475623,3.47169e-05,-0.0161243,-3.03731,2.5328
0.477144,3.51964e-05,-0.0162693,-3.03686,2.53325
0.478663,3.56807e-05,-0.016415,-3.0364,2.53369
0.480182,3.61701e-05,-0.0165612,-3.03595,2.53414
0.481701,3.66644e-05,-0.016708,-3.03549,2.53458
0.483218,3.71638e-05,-0.0168554,-3.03503,2.53502
0.484735,3.76682e-05,-0.0170034,-3.03458,2.53547
0.486251,3.81777e-05,-0.017152,-3.03412,2.53591
0.487767,3.86924e-05,-0.0173012,-3.03367,2.53635
0.489281,3.92122e-05,-0.017451,-3.03322,2.5368
0.490795,3.97372e-05,-0.0176013,-3.03276,2.53724
0.492308,4.02675e-05,-0.0177523,-3.03231,2.53768
0.49382,4.0803e-05,-0.0179038,-3.03185,2.53813
0.495332,4.13438e-05,-0.018056,-3.0314,2.53857
0.496843,4.189e-05,-0.0182087,-3.03095,2.53901
0.498353,4.24415e-05,-0.018362,-3.03049,2.53945
0.499862,4.29985e-05,-0.0185159,-3.03004,2.53989
0.501371,4.35609e-05,-0.0186703,-3.02959,2.54033
0.502879,4.41288e-05,-0.0188253,-3.02914,2.54078
0.504386,4.47021e-05,-0.0189809,-3.02868,2.54122
0.505892,4.52811e-05,-0.0191371,-3.02823,2.54166
0.507398,4.58656e-05,-0.0192938,-3.02778,2.5421
0.508903,4.64557e-05,-0.0194511,-3.02733,2.54254
0.510407,4.70515e-05,-0.019609,-3.02688,2.54298
0.511911,4.7653e-05,-0.0197674,-3.02643,2.54342
0.513413,4.82602e-05,-0.0199264,-3.02598,2.54386
0.514915,4.88731e-05,-0.0200859,-3.02553,2.5443
0.516417,4.94919e-05,-0.0202461,-3.02508,2.54474
0.517917,5.01165e-05,-0.0204067,-3.02462,2.54518
0.519417,5.07469e-05,-0.0205679,-3.02417,2.54562
0.520916,5.13833e-05,-0.0207297,-3.02373,2.54606
0.522414,5.20256e-05,-0.020892,-3.02328,2.5465
0.523912,5.26739e-05,-0.0210549,-3.02283,2.54694
0.525409,5.33282e-05,-0.0212183,-3.02238,2.54737
0.526905,5.39885e-05,-0.0213822,-3.02193,2.54781
0.5284,5.4655e-05,-0.0215467,-3.02148,2.54825
0.529895,5.53275e-05,-0.0217118,-3.02103,2.54869
0.531389,5.60063e-05,-0.0218773,-3.02058,2.54913
0.532882,5.66912e-05,-0.0220435,-3.02014,2.54956
0.534375,5.73823e-05,-0.0222101,-3.01969,2.55
0.535867,5.80798e-05,-0.0223773,-3.01924,2.55044
0.537358,5.87835e-05,-0.022545,-3.01879,2.55088
0.538848,5.94936e-05,-0.0227132,-3.01835,2.55131
0.540338,6.02101e-05,-0.022882,-3.0179,2.55175
0.541827,6.09329e-05,-0.0230513,-3.01745,2.55219
0.543315,6.16623e-05,-0.0232211,-3.01701,2.55262
0.544803,6.23982e-05,-0.0233914,-3.01656,2.55306
0.54629,6.31405e-05,-0.0235622,-3.01611,2.55349
0.547776,6.38895e-05,-0.0237336,-3.01567,2.55393
0.549261,6.46451e-05,-0.0239055,-3.01522,2.55437
0.550746,6.54073e-05,-0.0240779,-3.01478,2.5548
0.55223,6.61762e-05,-0.0242508,-3.01433,2.55524
0.553713,6.69519e-05,-0.0244242,-3.01389,2.55567
0.555196,6.77343e-05,-0.0245981,-3.01344,2.55611
0.556678,6.85235e-05,-0.0247725,-3.013,2.55654
0.558159,6.93196e-05,-0.0249474,-3.01255,2.55697
0.559639,7.01225e-05,-0.0251229,-3.01211,2.55741
0.561119,7.09324e-05,-0.0252988,-3.01166,2.55784
0.562598,7.17492e-05,-0.0254752,-3.01122,2.55828
0.564076,7.25731e-05,-0.0256521,-3.01078,2.55871
0.565554,7.34039e-05,-0.0258295,-3.01033,2.55914
0.567031,7.42419e-05,-0.0260074,-3.00989,2.55958
0.568507,7.5087e-05,-0.0261858,-3.00945,2.56001
0.569983,7.59392e-05,-0.0263647,-3.00901,2.56044
0.571458,7.67986e-05,-0.0265441,-3.00856,2.56088
0.572932,7.76653e-05,-0.0267239,-3.00812,2.56131
0.574405,7.85392e-05,-0.0269043,-3.00768,2.56174
0.575878,7.94205e-05,-0.0270851,-3.00724,2.56217
0.57735,8.03091e-05,-0.0272663,-3.00679,2.56261
0.578821,8.12051e-05,-0.0274481,-3.00635,2.56304
0.580292,8.21086e-05,-0.0276303,-3.00591,2.56347
0.581762,8.30195e-05,-0.027813,-3.00547,2.5639
0.583231,8.3938e-05,-0.0279962,-3.00503,2.56433
0.5847,8.4864e-05,-0.0281799,-3.00459,2.56476
0.586168,8.57976e-05,-0.028364,-3.00415,2.56519
0.587635,8.67389e-05,-0.0285485,-3.00371,2.56563
0.589102,8.76878e-05,-0.0287336,-3.00327,2.56606
0.590568,8.86445e-05,-0.0289191,-3.00283,2.56649
0.592033,8.96089e-05,-0.029105,-3.00239,2.56692
0.593497,9.05812e-05,-0.0292914,-3.00195,2.56735
0.594961,9.15613e-05,-0.0294783,-3.00151,2.56778
0.596424,9.25492e-05,-0.0296656,-3.00107,2.56821
0.597887,9.35451e-05,-0.0298534,-3.00063,2.56864
0.599348,9.4549e-05,-0.0300416,-3.0002,2.56907
0.600809,9.55609e-05,-0.0302303,-2.99976,2.56949
0.60227,9.65809e-05,-0.0304194,-2.99932,2.56992
0.60373,9.76089e-05,-0.0306089,-2.99888,2.57035
0.605189,9.86451e-05,-0.0307989,-2.99844,2.57078
0.606647,9.96895e-05,-0.0309893,-2.99801,2.57121
0.608105,0.000100742,-0.0311802,-2.99757,2.57164
0.609562,0.000101803,-0.0313715,-2.99713,2.57207
0.611018,0.000102872,-0.0315633,-2.99669,2.57249
0.612474,0.00010395,-0.0317554,-2.99626,2.57292
0.613929,0.000105036,-0.031948,-2.99582,2.57335
0.615383,0.00010613,-0.032141,-2.99539,2.57378
0.616837,0.000107233,-0.0323345,-2.99495,2.5742
0.61829,0.000108344,-0.0325284,-2.99451,2.57463
0.619742,0.000109464,-0.0327227,-2.99408,2.57506
0.621194,0.000110593,-0.0329174,-2.99364,2.57548
0.622644,0.00011173,-0.0331125,-2.99321,2.57591
0.624095,0.000112876,-0.0333081,-2.99277,2.57634
0.625544,0.00011403,-0.0335041,-2.99234,2.57676
0.626993,0.000115194,-0.0337004,-2.9919,2.57719
0.628442,0.000116366,-0.0338972,-2.99147,2.57762
0.629889,0.000117547,-0.0340944,-2.99103,2.57804
0.631336,0.000118737,-0.034292,-2.9906,2.57847
0.632783,0.000119936,-0.0344901,-2.99017,2.57889
0.634228,0.000121144,-0.0346885,-2.98973,2.57932
0.635673,0.000122361,-0.0348873,-2.9893,2.57974
0.637118,0.000123588,-0.0350865,-2.98886,2.58017
0.638561,0.000124823,-0.0352861,-2.98843,2.58059
0.640004,0.000126067,-0.0354862,-2.988,2.58102
0.641447,0.000127321,-0.0356866,-2.98757,2.58144
0.642888,0.000128584,-0.0358874,-2.98713,2.58187
0.644329,0.000129856,-0.0360886,-2.9867,2.58229
0.64577,0.000131138,-0.0362901,-2.98627,2.58271
0.647209,0.000132429,-0.0364921,-2.98584,2.58314
0.648648,0.000133729,-0.0366945,-2.98541,2.58356
0.650087,0.000135039,-0.0368972,-2.98497,2.58398
0.651525,0.000136359,-0.0371003,-2.98454,2.58441
0.652962,0.000137688,-0.0373039,-2.98411,2.58483
0.654398,0.000139027,-0.0375077,-2.98368,2.58525
0.655834,0.000140375,-0.037712,-2.98325,2.58568
0.657269,0.000141733,-0.0379166,-2.98282,2.5861
0.658704,0.000143101,-0.0381216,-2.98239,2.58652
0.660137,0.000144479,-0.038327,-2.98196,2.58694
0.661571,0.000145867,-0.0385328,-2.98153,2.58736
0.663003,0.000147264,-0.0387389,-2.9811,2.58779
0.664435,0.000148672,-0.0389454,-2.98067,2.58821
0.665866,0.000150089,-0.0391522,-2.98024,2.58863
0.667297,0.000151517,-0.0393595,-2.97981,2.58905
0.668727,0.000152954,-0.039567,-2.97938,2.58947
0.670156,0.000154402,-0.039775,-2.97895,2.58989
0.671585,0.00015586,-0.0399833,-2.97852,2.59031
0.673013,0.000157328,-0.0401919,-2.9781,2.59073
0.67444,0.000158806,-0.0404009,-2.97767,2.59115
0.675867,0.000160295,-0.0406103,-2.97724,2.59157
0.677293,0.000161794,-0.04082,-2.97681,2.59199
0.678719,0.000163304,-0.04103,-2.97638,2.59241
0.680143,0.000164824,-0.0412405,-2.97596,2.59283
0.681568,0.000166354,-0.0414512,-2.97553,2.59325
0.682991,0.000167895,-0.0416623,-2.9751,2.59367
0.684414,0.000169447,-0.0418738,-2.97468,2.59409
0.685836,0.000171009,-0.0420855,-2.97425,2.59451
0.687258,0.000172582,-0.0422977,-2.97382,2.59493
0.688679,0.000174166,-0.0425101,-2.9734,2.59535
0.690099,0.000175761,-0.0427229,-2.97297,2.59577
0.691519,0.000177366,-0.0429361,-2.97254,2.59619
0.692938,0.000178983,-0.0431495,-2.97212,2.5966
0.694357,0.00018061,-0.0433633,-2.97169,2.59702
0.695775,0.000182248,-0.0435774,-2.97127,2.59744
0.697192,0.000183898,-0.0437919,-2.97084,2.59786
0.698609,0.000185558,-0.0440067,-2.97042,2.59828
0.700024,0.00018723,-0.0442218,-2.96999,2.59869
0.70144,0.000188912,-0.0444372,-2.96957,2.59911
0.702855,0.000190606,-0.044653,-2.96914,2.59953
0.704269,0.000192312,-0.0448691,-2.96872,2.59995
0.705682,0.000194028,-0.0450855,-2.9683,2.60036
0.707095,0.000195756,-0.0453022,-2.96787,2.60078
0.708507,0.000197496,-0.0455192,-2.96745,2.6012
0.709919,0.000199247,-0.0457365,-2.96702,2.60161
