V,K_I,Na_I,L_I,HCN_I
0.874357,3.70354e-05,-0.0168965,-2.91769,0.0364603
0.877255,3.75586e-05,-0.0170538,-2.91682,0.0366382
0.880152,3.80874e-05,-0.0172119,-2.91595,0.0368163
0.883048,3.86217e-05,-0.0173707,-2.91509,0.0369948
0.885944,3.91618e-05,-0.0175302,-2.91422,0.0371735
0.888838,3.97075e-05,-0.0176904,-2.91335,0.0373527
0.891732,4.0259e-05,-0.0178514,-2.91248,0.0375321
0.894625,4.08163e-05,-0.018013,-2.91161,0.0377118
0.897517,4.13793e-05,-0.0181755,-2.91075,0.0378919
0.900408,4.19483e-05,-0.0183386,-2.90988,0.0380723
0.903298,4.25231e-05,-0.0185025,-2.90901,0.0382531
0.906187,4.31039e-05,-0.018667,-2.90814,0.0384341
0.909075,4.36906e-05,-0.0188323,-2.90728,0.0386155
0.911963,4.42834e-05,-0.0189984,-2.90641,0.0387972
0.914849,4.48822e-05,-0.0191651,-2.90555,0.0389792
0.917735,4.54872e-05,-0.0193326,-2.90468,0.0391615
0.92062,4.60983e-05,-0.0195007,-2.90381,0.0393442
0.923504,4.67156e-05,-0.0196696,-2.90295,0.0395271
0.926387,4.73391e-05,-0.0198392,-2.90208,0.0397104
0.929269,4.79689e-05,-0.0200095,-2.90122,0.039894
0.93215,4.8605e-05,-0.0201806,-2.90035,0.040078
0.935031,4.92475e-05,-0.0203523,-2.89949,0.0402622
0.93791,4.98964e-05,-0.0205247,-2.89863,0.0404468
0.940789,5.05518e-05,-0.0206979,-2.89776,0.0406317
0.943667,5.12136e-05,-0.0208717,-2.8969,0.0408169
0.946543,5.1882e-05,-0.0210463,-2.89604,0.0410024
0.949419,5.25569e-05,-0.0212215,-2.89517,0.0411883
0.952295,5.32385e-05,-0.0213975,-2.89431,0.0413744
0.955169,5.39268e-05,-0.0215741,-2.89345,0.0415609
0.958042,5.46218e-05,-0.0217515,-2.89259,0.0417477
0.960915,5.53235e-05,-0.0219295,-2.89173,0.0419348
0.963787,5.6032e-05,-0.0221083,-2.89086,0.0421222
0.966657,5.67474e-05,-0.0222877,-2.89,0.04231
0.969527,5.74697e-05,-0.0224679,-2.88914,0.042498
0.972396,5.81989e-05,-0.0226487,-2.88828,0.0426864
0.975264,5.89351e-05,-0.0228302,-2.88742,0.0428751
0.978132,5.96783e-05,-0.0230124,-2.88656,0.0430641
0.980998,6.04286e-05,-0.0231953,-2.8857,0.0432534
0.983864,6.1186e-05,-0.0233789,-2.88484,0.043443
0.986729,6.19506e-05,-0.0235632,-2.88398,0.043633
0.989592,6.27224e-05,-0.0237481,-2.88312,0.0438232
0.992455,6.35014e-05,-0.0239338,-2.88226,0.0440138
0.995317,6.42878e-05,-0.0241201,-2.8814,0.0442047
0.998179,6.50815e-05,-0.0243071,-2.88055,0.0443959
1.00104,6.58826e-05,-0.0244947,-2.87969,0.0445874
1.0039,6.66911e-05,-0.0246831,-2.87883,0.0447792
1.00676,6.75071e-05,-0.0248721,-2.87797,0.0449713
1.00962,6.83307e-05,-0.0250618,-2.87712,0.0451638
1.01247,6.91619e-05,-0.0252522,-2.87626,0.0453565
1.01533,7.00007e-05,-0.0254432,-2.8754,0.0455496
1.01818,7.08471e-05,-0.0256349,-2.87454,0.045743
1.02104,7.17013e-05,-0.0258273,-2.87369,0.0459366
